File_Name,Time_start,Time_end,Behavior,Total_time_of_behavior_s,Duration_behavior_hhmms,Total_time_of_behavior_m,Male,Replicate
2022_06_17_11_01_02.mp4,0:30,0:33,MOUNTING_E,3,0:00:03,0.05,21,1
2022_06_17_11_01_02.mp4,3:57,4:00,TOUCHING_E,3,0:00:03,0.05,21,1
2022_06_17_11_01_02.mp4,7:44,7:46,TOUCHING_E,2,0:00:02,0.033333333,21,1
2022_06_17_11_01_02.mp4,7:46,8:10,MOUNTING_E,24,0:00:24,0.4,21,1
2022_06_17_11_51_45.mp4,4:47,4:50,TOUCHING_C,3,0:00:03,0.05,50,1
2022_06_17_11_51_45.mp4,4:50,4:52,MOUNTING_C,2,0:00:02,0.033333333,50,1
2022_06_17_11_51_45.mp4,5:57,5:58,TOUCHING_E,1,0:00:01,0.016666667,50,1
2022_06_17_11_51_45.mp4,6:00,6:01,TOUCHING_E,1,0:00:01,0.016666667,50,1
2022_06_17_11_51_45.mp4,6:04,6:07,TOUCHING_E,3,0:00:03,0.05,50,1
2022_06_17_11_51_45.mp4,6:07,6:30,MOUNTING_E,23,0:00:23,0.383333333,50,1
2022_06_17_11_51_45.mp4,12:10,12:12,TOUCHING_C,2,0:00:02,0.033333333,50,1
2022_06_17_11_51_45.mp4,12:12,12:19,MOUNTING_C,7,0:00:07,0.116666667,50,1
2022_06_21_13_39_37.mp4,4:58,5:00,TOUCHING_E,2,0:00:02,0.033333333,1,2
2022_06_23_13_59_36.mp4,0:16,0:18,TOUCHING_E,2,0:00:02,0.033333333,14,1
2022_06_23_13_59_36.mp4,0:23,0:25,TOUCHING_E,2,0:00:02,0.033333333,14,1
2022_06_23_13_59_36.mp4,0:38,0:41,TOUCHING_E,3,0:00:03,0.05,14,1
2022_06_23_13_59_36.mp4,0:41,0:50,MOUNTING_E,9,0:00:09,0.15,14,1
2022_06_23_13_59_36.mp4,1:09,1:11,TOUCHING_E,2,0:00:02,0.033333333,14,1
2022_06_23_13_59_36.mp4,1:11,1:25,COPULATING_E,14,0:00:14,0.233333333,14,1
2022_06_23_13_59_36.mp4,1:29,1:34,MOUNTING_E,5,0:00:05,0.083333333,14,1
2022_06_23_13_59_36.mp4,1:38,1:39,TOUCHING_E,1,0:00:01,0.016666667,14,1
2022_06_23_13_59_36.mp4,1:43,1:48,TOUCHING_E,5,0:00:05,0.083333333,14,1
2022_06_23_13_59_36.mp4,1:57,1:59,TOUCHING_E,2,0:00:02,0.033333333,14,1
2022_06_23_13_59_36.mp4,7:50,7:56,MOUNTING_E,6,0:00:06,0.1,14,1
2022_06_23_13_59_36.mp4,7:59,8:03,TOUCHING_E,4,0:00:04,0.066666667,14,1
2022_06_23_13_59_36.mp4,8:03,8:24,MOUNTING_E,21,0:00:21,0.35,14,1
2022_06_23_13_59_36.mp4,8:27,8:29,TOUCHING_E,2,0:00:02,0.033333333,14,1
2022_06_23_13_59_36.mp4,8:36,8:40,TOUCHING_E,4,0:00:04,0.066666667,14,1
2022_06_23_13_59_36.mp4,8:44,8:49,MOUNTING_E,5,0:00:05,0.083333333,14,1
2022_06_23_13_59_36.mp4,8:59,9:09,MOUNTING_E,10,0:00:10,0.166666667,14,1
